session_id,user_id,start_time,energy_kWh,ip_address,geo_location,cpu_usage_percent,packets_per_sec,end_time,amount_INR,anomaly_type
22148444-eac1-431d-8e53-e3298c6cca09,1039,2025-08-09 10:16:46,26.25,123.51.55.59,"-59.337760,41.001748",92.97294537010366,4960,2025-08-09 10:56:08.500,485.62,dos_attack
d61ca246-e166-4594-b86c-56da3bca3470,1046,2025-09-12 07:54:06,35.5,210.112.57.249,"-49.4045845,89.419984",24.12,171,2025-09-12 08:47:21.000,656.75,none
75f07fc5-8ae3-47e3-a13b-e0f3809c81af,1018,2025-02-10 23:57:47,5.36,67.10.247.164,"35.992323,141.850574",22.9,192,2025-02-11 00:05:49.400,99.16,none
be18c7db-bbea-4f4a-bbc3-b1ec3f781ca4,1010,2024-11-26 02:05:53,64.6,222.59.63.155,"78.610273,1.491862",35.76,169,2024-11-26 03:42:47.000,0.0,payment_fraud
f3565cb0-4180-4da6-9576-79260e8ae482,1014,2025-08-26 17:56:01,66.34,66.41.153.228,"15.7467185,-147.999127",30.12,124,2025-08-26 19:35:31.600,1227.29,none
bca06577-6ae7-46e9-b30f-b3dbb06d113f,1036,2025-08-12 22:09:45,21.42,149.72.122.207,"-14.421622,-117.131077",26.94,52,2025-08-12 22:41:52.800,396.27,none
32118f59-7f8f-46e1-832a-47e96449bd08,1013,2025-05-19 02:53:01,19.91,123.197.43.140,"-17.786706,-138.717172",16.89,129,2025-05-19 03:22:52.900,368.34,none
c13ef0e3-e778-4241-86fd-8d932432cf77,1029,2025-07-11 19:14:07,38.16,97.242.157.158,"-57.7697855,-92.612069",14.81,139,2025-07-11 20:11:21.400,705.96,none
0091d8c8-51dd-4967-80ae-b23f231f3585,1050,2025-07-17 01:55:48,16.76,80.136.200.93,"-78.8283725,-155.579883",26.15,162,2025-07-17 02:20:56.400,310.06,multi_user_conflict
eefff9e2-891f-4d34-9023-c59df01827d8,1006,2025-07-02 15:34:37,52.91,212.48.171.93,"5.964912,-80.413381",14.38,109,2025-07-02 16:53:58.900,978.83,none
888658ea-3db3-41ea-904f-d843fb5b1c42,1041,2025-09-17 10:18:21,56.63,91.19.40.84,"-23.8669075,39.851965",33.95,142,2025-09-17 11:43:17.700,1047.66,none
8b9642c0-187c-4d42-81e8-cf956256b878,1030,2025-07-08 15:37:28,65.1,149.82.156.185,"-16.438466,-76.580709",28.88,112,2025-07-08 17:15:07.000,1204.35,none
138500e5-8bb0-4fb0-b12f-c6f76e850593,1039,2025-05-08 09:36:56,51.07,144.105.79.239,"39.831718,-0.215787",15.38,198,2025-05-08 10:53:32.300,944.8,none
6c37d1a9-4039-42c0-85e5-9c7c1f3b43a3,1049,2025-07-21 01:06:55,5.46,79.198.131.123,"87.4947055,172.130492",99.80688461455128,3909,2025-07-21 01:15:06.400,101.01,dos_attack
faf52d53-c777-4201-80ef-9f363338f031,1035,2025-02-20 21:47:07,35.01,124.29.163.240,"-28.641129,-173.119979",24.55,78,2025-02-20 22:39:37.900,647.68,none
6042b767-97fd-45e6-a333-e74607f1e746,1017,2025-08-21 19:15:11,68.63,98.125.136.20,"-45.281728,8.576944",35.95,98,2025-08-21 20:58:07.700,1269.66,none
2a1314d4-ba73-4177-b10c-b611d34f5aff,1013,2025-10-02 20:08:52,27.36,11.69.62.92,"12.1346825,-45.007313",28.78,106,2025-10-02 20:49:54.400,506.16,none
aa2da851-cb08-4a1f-8401-78f56d766426,1028,2025-08-14 11:39:50,16.72,20.206.85.20,"-4.179025,146.896021",37.88,155,2025-08-14 12:04:54.800,0.0,payment_fraud
a3093b29-7c4c-477b-9fa8-3738e142b011,1019,2025-06-07 10:09:37,7.61,3.218.135.6,"-32.246944,-47.813641",30.02,189,2025-06-07 10:21:01.900,140.78,none
4923a67c-ac95-4c5a-9289-60816edb03e4,1046,2025-08-06 02:40:57,48.92,107.151.171.153,"-19.6860145,118.831071",15.03,152,2025-08-06 03:54:19.800,905.02,none
